ID,Name,Value,Wage
234711,J. Brekalo,€11.5M,€33K
138456,Diego Tardelli,€4.7M,€20K
210648,A. Hegazi,€7.5M,€31K
199641,M. Sels,€6.5M,€14K
220633,D. Gray,€11M,€50K
229593,M. Pjaca,€11M,€75K
232665,M. Arambarri,€8.5M,€18K
229594,A. Ćorić,€14M,€38K
186330,T. Gebre Selassie,€5M,€24K
232411,C. Nkunku,€11.5M,€46K
124635,M. Topal,€4.4M,€51K
158942,Léo Matos,€4.3M,€1K
195038,F. Kainz,€9M,€28K
228579,B. Henrichs,€9.5M,€36K
230371,Victildinho,€2.2M,€13K
199652,D. Praet,€10M,€28K
229092,A. Umar,€10.5M,€13K
163301,J. Orozco,€4.4M,€16K
183526,N. El Zhar,€7M,€28K
226536,O. Colley,€8.5M,€28K
220905,J. Aholou,€9.5M,€44K
152554,G. Clichy,€4.3M,€23K
208622,Rubén Sobrino,€9.5M,€25K
199151,J. Iturbe,€9.5M,€23K
205295,H. Soudani,€7.5M,€51K
155887,M. Bradley,€5.5M,€8K
198640,Z. Labyad,€9.5M,€17K
177392,D. Mbokani,€6M,€15K
178160,T. Mangani,€6.5M,€23K
243952,A. Lunin,€10.5M,€24K
179696,E. Insúa,€6M,€31K
167665,N. Domingo,€3.1M,€19K
212722,D. Yedlin,€8.5M,€34K
214770,D. González,€7M,€22K
179954,T. Kraft,€5M,€21K
216820,M. Simon,€10.5M,€20K
230388,Davi Parrela,€5.5M,€16K
216054,N. Domínguez,€7M,€12K
194806,C. Dawson,€6M,€32K
210423,A. Rusnák,€10M,€8K
210679,Paulo Oliveira,€7.5M,€21K
201976,A. Gomis,€7.5M,€9K
199417,H. Tekin,€6M,€44K
212729,Tozé,€10M,€11K
204538,R. Ruidíaz,€8M,€10K
183546,J. Hogg,€6M,€42K
188154,L. Holtby,€8M,€16K
212219,A. Djiku,€9M,€18K
190971,O. Alonso,€4.4M,€8K
228092,S. Berge,€11.5M,€11K
187132,C. Zambrano,€7M,€25K
190717,M. Antonio,€8M,€69K
199422,J. Clasie,€8.5M,€44K
220414,Diego Rico,€8M,€49K
176894,Mossoró,€3.9M,€25K
221695,G. Donsah,€10.5M,€27K
768,Felipe,€2.7M,€13K
216320,S. Fofana,€9M,€22K
239872,Pablo Santos,€7M,€13K
198657,J. Svensson,€7M,€13K
212225,E. Roco,€7M,€36K
198658,F. Midtsjø,€8.5M,€13K
240898,Francis,€9M,€19K
222467,Ivi,€9M,€19K
240900,Unai Núñez,€8.5M,€14K
217605,L. Lerager,€8.5M,€31K
210950,P. De Blasis,€6.5M,€21K
233478,M. Zajc,€9.5M,€13K
189446,J. Stanislas,€6.5M,€55K
215559,Lucas Evangelista,€9M,€21K
186119,M. Stoch,€6.5M,€1K
213000,S. van Beek,€7M,€11K
230408,Fabrio Farinha,€7M,€31K
181256,M. Kozáčik,€2.7M,€1K
210441,Fran Sol,€8M,€11K
217097,R. Otero,€8M,€23K
219145,G. Maripán,€7.5M,€17K
193290,M. Braithwaite,€8M,€53K
204043,E. Dilaver,€6.5M,€1K
204555,R. Álvarez,€6.5M,€21K
212491,A. Masuaku,€7M,€49K
163083,Rolando,€3.8M,€35K
174859,Fran Rico,€4.9M,€9K
187659,D. Tarasov,€4.5M,€1K
189709,Alcalá,€5M,€26K
200206,Alan Patrick,€7M,€1K
164878,L. Refaelov,€5M,€13K
216335,Y. Gazinskiy,€0,€0
229391,Palhinha,€8M,€10K
190223,Balenziaga,€4.8M,€20K
195087,R. Petrović,€5M,€12K
197136,K. Ansarifard,€7M,€51K
195088,M. Ninković,€4M,€10K
156433,A. Talavera,€1.6M,€11K
192274,A. Barrada,€6.5M,€18K
204307,J. Korb,€6.5M,€28K
203796,F. Gutiérrez,€7M,€9K
217877,T. Bongonda,€9M,€14K
230165,Simão Donatinho,€2.7M,€20K
205590,Luís Hernández,€5M,€10K
188182,L. Balogun,€4.9M,€38K
236311,M. Rog,€9M,€43K
181271,B. Dočkal,€6.5M,€15K
189207,J. Durmaz,€6.5M,€28K
186648,T. Kádár,€5.5M,€1K
205849,E. Andrada,€5.5M,€16K
234777,Z. Steffen,€8M,€5K
192537,M. Lestienne,€8M,€16K
186650,M. Alustiza,€3.4M,€21K
228635,Borja Mayoral,€10M,€86K
45595,D. Bonera,€900K,€18K
189211,Saúl Berjón,€5M,€12K
183068,C. Beauvue,€6.5M,€23K
223517,Danilo,€9M,€25K
187421,J. Hernández,€5M,€26K
200478,J. Hendrick,€8M,€46K
224030,M. Lopez,€9M,€29K
194846,F. Hanin,€5.5M,€10K
210463,D. Machís,€8.5M,€26K
194079,A. Potuk,€7.5M,€53K
216097,Idris,€2.7M,€8K
157217,N. Cardozo,€5.5M,€20K
195361,Javi López,€3.7M,€23K
137506,G. Pandev,€3.5M,€18K
210722,Júlio Tavares,€6.5M,€17K
235042,D. Liénard,€6M,€18K
107298,Y. Pelé,€1.6M,€19K
191011,L. Sepe,€5.5M,€36K
195363,J. Bruma,€7M,€35K
212772,O. Duarte,€5M,€24K
237604,A. Franco,€9.5M,€13K
244260,Dani Olmo,€11M,€1K
186405,F. Di Santo,€6.5M,€31K
210214,Jozabed,€7.5M,€21K
215334,G. Carrillo,€8M,€46K
193062,M. Zeegelaar,€5.5M,€42K
224808,G. Ferrari,€7M,€40K
223017,O. Şahiner,€8M,€18K
184873,I. Traoré,€4.5M,€20K
190761,T. Arslan,€6.5M,€38K
192041,N. Araújo,€7M,€20K
202282,S. Armstrong,€8M,€42K
218154,K. Billiat,€7M,€1K
212267,Ivan Cavaleiro,€8.5M,€54K
236331,E. Cabaco,€8M,€17K
230189,Silas Almeim,€5.5M,€13K
111661,C. Kameni,€2.7M,€39K
221743,Hélder Costa,€9M,€54K
207920,E. Durm,€6.5M,€38K
210736,Emerson,€7M,€61K
217648,G. Haraguchi,€7M,€30K
139313,C. Fuchs,€3.7M,€50K
215089,E. Kalinski,€5.5M,€21K
140082,Rafael,€900K,€14K
183346,F. Frei,€5M,€24K
189234,M. Risse,€6.5M,€21K
182579,V. Cáceres,€0,€0
207412,Renan Bressan,€6.5M,€11K
207924,Lucas Lima,€6.5M,€22K
159028,M. Silvestre,€2.7M,€13K
193844,Portillo,€6.5M,€22K
201269,F. Rønnow,€6.5M,€21K
171830,N. Spolli,€1.6M,€11K
183606,S. Rajković,€5M,€5K
212023,R. Berić,€8M,€31K
214327,V. Hernández,€6.5M,€6K
186935,Claudemir,€6M,€14K
190520,T. Jantschke,€5.5M,€24K
210489,L. Schaub,€9M,€18K
158777,P. Tschauner,€3.8M,€22K
230457,Gabrisco Aníbal,€6M,€19K
173370,B. Feilhaber,€3.9M,€9K
220475,A. Grassi,€9.5M,€43K
214076,N. Vikonis,€2.7M,€7K
201533,P. Ntep,€8M,€36K
212541,L. Vangioni,€4.4M,€37K
194365,S. Okazaki,€5.5M,€59K
147006,Diego Castro,€2.9M,€5K
150590,C. Jallet,€1.9M,€26K
224574,O. Pineda,€9.5M,€30K
183870,A. Mounier,€6.5M,€1K
190782,Sandro,€5M,€16K
198719,N. Redmond,€8.5M,€36K
199487,Gálvez,€6M,€18K
157503,A. Song,€4.9M,€27K
192575,E. Badu,€7M,€25K
209984,M. Agu,€7.5M,€11K
215616,Jason,€9M,€19K
219712,S. Cristóforo,€7.5M,€36K
49472,L. Butelle,€1.6M,€11K
230465,Allan Bardinho,€7M,€22K
204355,P. Dummett,€6.5M,€38K
215107,H. Villalba,€8.5M,€8K
231235,K. Amian,€8.5M,€17K
230468,José Mirazar,€3.4M,€29K
188484,A. Hernández,€7M,€1K
230469,Ailton Guevara,€7M,€17K
181573,O. Akhmedov,€6M,€17K
202054,Naldo,€5M,€24K
204102,Y. Ayoub,€8.5M,€12K
205895,A. Ring,€6.5M,€8K
221000,B. Ndiaye,€7M,€40K
226376,Kaku,€10M,€8K
230475,Adilson Edrada,€7M,€18K
225356,A. Ibargüen,€8M,€56K
114764,Iraizoz,€450K,€13K
201549,N. Nikolić,€6.5M,€9K
202061,J. Kurtić,€6.5M,€15K
209997,K. Wimmer,€7.5M,€35K
214605,A. Mejía,€5M,€26K
220493,A. Barreca,€7.5M,€42K
229453,Gil Dias,€9.5M,€39K
204366,J. Locadia,€9M,€40K
206414,S. Kryvtsov,€6.5M,€1K
158543,O. Peralta,€3.5M,€56K
225359,C. Budescu,€6.5M,€32K
163407,A. Raggi,€2M,€48K
178255,R. Donk,€3.8M,€43K
219728,Edgar Méndez,€7M,€24K
170320,L. De Silvestri,€6.5M,€37K
240976,M. Saracchi,€9.5M,€27K
163665,D. Congré,€2.7M,€22K
172113,M. Fritzler,€4.5M,€13K
190034,T. Kolodziejczak,€6.5M,€42K
230227,Caio Nunson,€4.9M,€13K
233299,Felipe Vizeu,€12M,€21K
207444,J. Damm,€8M,€44K
209236,Guilherme,€6.5M,€1K
219732,G. Nkoudou,€9M,€58K
195668,Joel Robles,€5.5M,€17K
220245,B. Zungu,€7M,€16K
230229,Otávio Cairinho,€6M,€23K
204886,P. Gouano,€8M,€14K
225878,C. Domínguez,€8.5M,€45K
201303,R. Falk,€8M,€20K
210007,André Ramalho,€6.5M,€30K
192087,G. Schennikov,€6M,€1K
206424,M. Morozyuk,€4.8M,€1K
186456,J. van der Heijden,€4.9M,€13K
201818,A. Musa,€8.5M,€36K
202330,A. Diaby,€7M,€14K
158810,G. İnler,€2M,€22K
173146,L. Cigarini,€5M,€29K
206171,Júnior Urso,€5M,€15K
206427,B. Butko,€6M,€1K
220763,R. Thomas,€9M,€13K
229723,M. Jensen,€9M,€19K
215644,Burgui,€8.5M,€19K
225116,A. Meret,€12M,€24K
193116,M. Gonalons,€5M,€47K
213597,D. Valdés,€8.5M,€10K
200798,Marafona,€4M,€10K
222558,R. Karsdorp,€7.5M,€39K
190558,I. Opara,€6M,€8K
225375,K. Laimer,€8M,€27K
179551,O. Kamara,€7M,€10K
205408,S. Gentiletti,€2.7M,€9K
188768,Serey Dié,€2.7M,€23K
189280,A. Westwood,€6.5M,€48K
201313,C. Ciano,€6.5M,€17K
223329,A. Conti,€8.5M,€58K
176993,Bojan,€7M,€40K
212067,C. Vargas,€5M,€5K
189795,Éder,€6.5M,€1K
206436,Y. Benzia,€9M,€25K
170084,W. Hennessey,€4M,€34K
221797,E. Thommy,€8.5M,€26K
224869,Bustinza,€7M,€24K
232805,Bernardo,€7.5M,€33K
177765,P. Cissé,€4.2M,€16K
183141,Oier,€4.7M,€17K
205670,D. Gayle,€7M,€46K
223334,Joelinton,€9M,€25K
159591,A. Pérez,€900K,€2K
165735,B. Jones,€900K,€17K
198504,J. Drmić,€8.5M,€26K
233064,M. Mount,€11M,€37K
49000,A. McGregor,€900K,€22K
190824,O. Elabdellaoui,€6.5M,€1K
210537,R. Steffen,€7M,€41K
213353,K. Kanga,€7M,€1K
193897,J. Ananidze,€8.5M,€1K
194665,S. Ilsanker,€5M,€40K
216939,A. Blake,€5.5M,€6K
230507,Nicholas Aldair,€7.5M,€29K
235883,R. Sessegnon,€12M,€27K
230252,Jorginhson,€6M,€13K
239212,Carlitos,€7M,€12K
178284,L. Nguyen,€6M,€9K
240493,A. Paschalakis,€5.5M,€1K
202350,Fabrício,€7M,€15K
226414,M. Coco,€9M,€19K
197231,K. Babacar,€8.5M,€45K
214639,Postigo,€5M,€21K
230767,Renato Sanches,€10M,€41K
190576,M. Caruzzo,€2.7M,€15K
235634,G. Konan,€7.5M,€14K
224883,S. Mounié,€9.5M,€40K
209781,P. Capelle,€4.4M,€20K
230005,T. Davies,€10M,€54K
177525,N. Dirar,€5M,€53K
198006,J. Toornstra,€6.5M,€14K
207734,Paulinho,€9.5M,€9K
209782,S. Larsson,€8M,€14K
225144,P. Tau,€0,€0
236920,J. Kluivert,€11M,€28K
171896,H. Ayala,€4.5M,€42K
231545,Miguel Silva,€6.5M,€7K
213114,D. Rolán,€8.5M,€11K
222331,L. Klostermann,€8M,€32K
225659,G. Rodríguez,€7.5M,€41K
222077,M. Locatelli,€8.5M,€43K
189053,F. Caputo,€6.5M,€16K
221310,A. Roa,€8.5M,€4K
194174,Keko,€8M,€11K
200831,A. El Khayati,€6.5M,€11K
210047,F. Schär,€7.5M,€38K
238463,A. Haidara,€10M,€24K
219777,Chema Rodríguez,€7M,€20K
170369,G. dos Santos,€6.5M,€10K
202882,T. Bifouma,€8M,€21K
230274,Dani Rochelinhas,€7M,€17K
202115,M. Ostrzolek,€5.5M,€29K
217731,Sandro,€9.5M,€69K
178051,L. Deaux,€5M,€21K
194947,J. Vuković,€4.9M,€1K
132740,J. Hansen,€3.4M,€16K
216452,Gonçalo Paciência,€9.5M,€29K
229764,Córdoba,€10M,€18K
190854,P. Pekarík,€4.4M,€23K
198023,Ximo Navarro,€5.5M,€21K
179591,Pablo Hernández,€4M,€40K
192904,G. Kashia,€4.9M,€8K
165769,Cássio,€450K,€10K
172425,S. Bamba,€2.7M,€38K
176009,S. Kums,€6M,€19K
224394,Fábio Martins,€8.5M,€12K
188042,M. Suárez,€6.5M,€15K
209547,S. Mitrović,€6M,€18K
164491,D. Aogo,€4.5M,€28K
210828,B. Engels,€8M,€14K
213388,F. Tait,€8.5M,€23K
238476,D. Zagadou,€9M,€16K
188556,M. Diamé,€5.5M,€42K
205966,A. Younes,€8M,€47K
210831,B. Verstraete,€7.5M,€16K
211856,K. Akpoguma,€8M,€24K
219792,B. Santamaria,€7.5M,€17K
46736,E. Moretti,€900K,€24K
193425,H. Behrens,€6.5M,€24K
215698,M. Maignan,€7.5M,€18K
231826,Y. Karamoh,€10.5M,€24K
192146,V. Ignatiev,€4.4M,€1K
208787,A. Thomasson,€8M,€16K
212883,D. Amartey,€7M,€43K
152211,R. Özcan,€2.7M,€36K
203668,A. Donnarumma,€7M,€6K
199829,Timor,€5.5M,€11K
211093,C. McGregor,€8.5M,€44K
219797,R. Martínez,€9.5M,€50K
244373,V. Buyalskyi,€8.5M,€1K
184469,H. Arter,€6.5M,€55K
208534,A. Mawson,€9M,€38K
227222,F. Guilbert,€9M,€17K
229270,M. Lemos,€7.5M,€9K
202135,S. Sturaro,€8M,€71K
208535,A. Duncan,€8.5M,€42K
215703,Marlon,€8M,€34K
187800,M. Isla,€4.8M,€48K
225945,Thiago Maia,€8M,€19K
230042,Y. Aït Bennasser,€10M,€39K
176794,O. Toivonen,€6M,€11K
189338,J. Urretaviscaya,€6.5M,€46K
237211,Yuri Ribeiro,€7.5M,€8K
194203,N. Tomović,€4.9M,€15K
183966,F. Roncaglia,€4.5M,€20K
215199,R. Botta,€6.5M,€21K
225439,R. Mandragora,€10.5M,€18K
186783,A. Adomah,€6.5M,€20K
235424,D. Samassékou,€9.5M,€26K
191648,M. Yoshida,€5M,€40K
193440,N. Viergever,€5.5M,€15K
198817,R. Amalfitano,€6.5M,€15K
211361,D. Cataldi,€8.5M,€35K
241827,Martín,€7.5M,€17K
194979,Tiago Pinto,€4.8M,€19K
211108,Fernandinho,€8.5M,€10K
214692,C. Cueva,€0,€0
230564,M. Gaćinović,€9M,€26K
232869,G. Shoji,€7.5M,€11K
138918,L. Rigoni,€3.9M,€37K
205478,M. Krmenčík,€9M,€1K
216742,M. Mevlja,€0,€0
169638,C. Daniels,€4.4M,€49K
202151,K. Stafylidis,€7M,€18K
226215,Sabin Merino,€8M,€23K
202408,A. Flint,€6M,€47K
235944,Brais Méndez,€10.5M,€16K
225193,Merino,€10M,€22K
176553,S. Missiroli,€5M,€15K
202410,Serantes,€5.5M,€21K
229034,V. Guzmán,€9M,€24K
178090,D. Biseswar,€6.5M,€1K
214955,E. Mas,€5M,€21K
179884,Nuno Pinto,€4.4M,€7K
216749,Carlos Mané,€9M,€11K
229037,Borja Valle,€8.5M,€11K
168621,Zeca,€6.5M,€21K
189357,C. Toselli,€4.3M,€4K
200110,M. Bizot,€5.5M,€11K
207790,K. Ayhan,€7.5M,€22K
210862,Ricardo Ferreira,€7M,€12K
183982,N. Roux,€6.5M,€24K
212911,Hernâni,€7M,€13K
199601,M. Çağıran,€7M,€13K
136113,W. Morgan,€2M,€50K
220337,J. Alonso,€7.5M,€25K
188337,M. Wakaso,€7M,€22K
245682,K. Traoré,€0,€0
206003,Y. Mvogo,€6.5M,€25K
230323,Kaíquão Castro,€2.7M,€20K
245683,K. Fofana,€0,€0
211124,P. Hurtado,€7M,€18K
214196,D. Bocanegra,€4.4M,€6K
227508,Melero,€8M,€17K
194996,Borja Bastón,€8.5M,€29K
198581,O. Murillo,€4.9M,€25K
202934,O. Onazi,€7M,€25K
209846,C. Günter,€6.5M,€20K
211382,I. Amadou,€7.5M,€14K
222390,Unai López,€9M,€19K
225719,K. Iheanacho,€10M,€45K
232119,C. Söyüncü,€8.5M,€43K
213689,B. Pearson,€8M,€12K
211899,F. Niederlechner,€7M,€25K
205756,S. Denswil,€7M,€19K
142780,G. Rodríguez,€2M,€18K
161468,P. Guiñazú,€450K,€10K
220093,H. Hateboer,€9M,€22K
215998,I. Fernández,€6.5M,€23K
231102,L. Blas,€10.5M,€16K
235454,M. Sarr,€8.5M,€11K
146111,Mikel Rico,€3.9M,€21K
234943,F. Neuhaus,€10.5M,€19K
124607,S. İnan,€3.9M,€47K
149184,C. Maggio,€775K,€4K
196801,Mexer,€5M,€28K
149185,F. Magnanelli,€2.7M,€40K
219841,J. Figal,€8M,€15K
207554,V. Claesson,€0,€0
207555,F. Helander,€7M,€25K
211907,J. Gondorf,€6M,€23K
210372,R. Ghezzal,€8M,€54K
213956,Adama,€10.5M,€54K
222148,O. Duda,€9.5M,€22K
224196,R. Bensebaini,€7M,€23K
212933,L. Depoitre,€6.5M,€47K
241095,N. Vlašić,€10.5M,€1K
188103,Rochina,€7M,€22K
201417,M. Doherty,€7M,€52K
204233,C. Musonda,€11M,€64K
210377,João Teixeira,€8.5M,€10K
165321,S. Ward,€3.7M,€42K
221130,Y. Cardinale,€6M,€18K
135883,S. Francis,€2.7M,€49K
230348,Lafortiscinho,€5.5M,€20K
188876,M. Valdifiori,€3.8M,€13K
190156,Rubén Pérez,€5M,€26K
197837,D. Boyata,€6.5M,€42K
198861,N. Mendy,€6.5M,€50K
217805,A. Martín Arias,€6.5M,€11K
228302,Pedraza,€9M,€24K
182736,Ricardo,€1.6M,€5K
3281,Tarantini,€3.2M,€10K
204497,K. Stöger,€9M,€24K
210897,C. Mbemba,€7.5M,€10K
201938,A. Limbombe,€8.5M,€21K
175314,K. McDonald,€5M,€46K
208339,O. Niasse,€7M,€82K
215251,G. Herrera,€6M,€12K
220883,R. Borré,€9.5M,€21K
190931,E. Zukanović,€4.5M,€15K
236245,A. Elis,€9.5M,€8K
174549,M. Fernández,€5M,€14K
213974,D. Rodríguez,€5.5M,€20K
199383,T. Klose,€4.9M,€25K
201943,A. Cornelius,€8.5M,€26K
211927,Kwon Chang Hoon,€8.5M,€13K
226777,C. Larin,€9.5M,€39K
234201,Tchê Tchê,€8M,€1K
195033,M. Leckie,€7M,€25K
214491,L. Quiñones,€7M,€46K
192476,Fontàs,€6M,€8K
169181,K. Vermeer,€3.8M,€10K
172768,A. Surman,€5.5M,€53K
198113,M. Höger,€6.5M,€21K
157665,S. Dann,€4.5M,€42K
244193,Jovane Cabral,€12M,€9K
180706,C. Cathcart,€5M,€44K
220132,Zaldúa,€7M,€23K
194020,Pelé,€6.5M,€48K
184037,M. Kelly,€6M,€44K
189157,Y. Bolasie,€6.5M,€76K
215270,L. Zelarayán,€8M,€46K
158438,Gelson Fernandes,€4.5M,€28K
187366,D. Glushakov,€4.5M,€1K
221671,Lee Jae Sung,€8.5M,€13K
175847,Baiano,€4.4M,€13K
212456,A. Hurtado,€6M,€44K
162280,A. Mierzejewski,€6M,€12K
226537,V. Janssen,€8.5M,€64K
196073,E. Paredes,€2.4M,€7K
215018,B. Alemán,€6.5M,€29K
234986,P. Retsos,€9M,€19K
237034,J. Hernández,€9M,€26K
191210,S. Corchia,€5.5M,€14K
204523,Rubén Pardo,€8M,€24K
214763,P. Goltz,€2.7M,€20K
215531,D. Türüç,€8.5M,€14K
212204,B. Mechele,€7M,€19K
230381,Kaimo Lima,€2M,€24K
188397,R. Rodelin,€7M,€25K
152814,Bobô,€4.2M,€16K
157678,L. Ciman,€3.8M,€13K
177134,D. Ba,€4.2M,€17K
177390,H. Medunjanin,€3.9M,€9K
192238,José Cañas,€4.5M,€1K
237297,Y. Osorio,€8.5M,€10K
182001,Titi,€4.9M,€22K
210930,Carles Gil,€8M,€10K
192242,P. Lasne,€6.5M,€25K
225523,Lekue,€7M,€19K
218868,A. Silva,€6.5M,€10K
236276,A. Danjuma Groeneveld,€10.5M,€16K
237556,C. Luyindama,€7.5M,€13K
199669,L. González Pirez,€7M,€8K
199158,Sergio Álvarez,€7M,€20K
215798,M. Cornet,€9M,€41K
211703,M. Schnatterer,€5M,€14K
237303,O. Kharbin,€9M,€33K
229624,Sergi Guardiola,€8M,€11K
236792,T. Souček,€8.5M,€1K
189945,Y. Ravet,€6.5M,€24K
202746,T. Serero,€6.5M,€15K
200443,B. Douglas,€5.5M,€38K
206075,S. Johnstone,€6.5M,€23K
212476,Medrán,€9M,€26K
156412,J. Corona,€450K,€12K
197117,I. Fetfatzidis,€7M,€1K
214781,S. Romero,€6.5M,€22K
177149,B. Jokič,€0,€0
169214,S. Sinclair,€6.5M,€48K
201215,L. Krejčí,€7M,€30K
191488,L. Orbán,€4.4M,€18K
213761,A. Hamdallah,€6M,€35K
220673,R. Tapia,€6.5M,€10K
221697,O. Watkins,€8M,€35K
230401,Duirval Diniz,€1.7M,€13K
197890,Arribas,€4.4M,€18K
199170,B. Dabo,€7M,€43K
215042,G. Lezcano,€4.9M,€12K
239875,Bebeto,€4.4M,€10K
194053,L. Sobiech,€4.7M,€17K
198150,Guerrero,€6M,€1K
210439,K. Boutaïb,€5M,€15K
219911,T. Hlatshwayo,€0,€0
159240,M. Krohn-Dehli,€2.4M,€7K
208137,Lucas Torró,€7M,€22K
176137,J. Vossen,€5.5M,€22K
192009,J. Rodríguez,€5M,€22K
154634,M. Pasqual,€650K,€9K
233738,Zubeldia,€8M,€17K
189707,Da Costa,€2.3M,€20K
176652,D. Kolář,€4.4M,€1K
215053,M. Zaldivia,€5.5M,€8K
231949,S. Ghoddos,€7.5M,€16K
239117,A. Bălută,€7M,€1K
200463,T. Melia,€3.2M,€6K
216079,A. Di Gaudio,€5.5M,€39K
238095,N. Milenković,€7.5M,€28K
143632,V. Demirel,€750K,€23K
189456,L. Cooper,€5.5M,€34K
230417,Edercinho Sepa,€4.2M,€22K
221714,A. Morelos,€9M,€41K
186130,J. Chester,€4.4M,€18K
193554,D. Sakho,€6M,€30K
225299,E. Velázquez,€6.5M,€14K
198420,M. Waris,€6M,€13K
181780,T. Matavž,€5.5M,€15K
195860,Y. Khacheridi,€4.2M,€1K
212245,Y. Gerhardt,€6.5M,€28K
234774,K. Laifis,€6M,€13K
189462,J. Hoilett,€5.5M,€44K
230423,Pascoal Muscato,€4.9M,€15K
215064,J. Furch,€6M,€22K
195096,Fransérgio,€6M,€13K
225305,S. Gümüş,€7.5M,€38K
197402,Anselmo,€4.4M,€21K
215322,J. Silva,€6.5M,€9K
210972,Manquillo,€6M,€30K
189468,Daniel Candeias,€5.5M,€46K
215069,R. Rey,€4.7M,€1K
244253,U. Račić,€7.5M,€18K
205598,André Sousa,€6M,€7K
215070,G. Ortíz,€6.5M,€11K
216350,A. Ademi,€5.5M,€1K
221982,P. Roberts,€8.5M,€60K
194334,Daniel Ayala,€5.5M,€41K
210719,M. Kempf,€6.5M,€22K
211999,R. Khedira,€6M,€17K
215071,M. Casco,€4.1M,€18K
234015,Caio Milaçar,€2.8M,€19K
186143,O. Norwood,€6M,€39K
186912,C. Träsch,€4.2M,€21K
205601,C. Atsu,€6.5M,€39K
227873,A. Touré,€6.5M,€38K
163873,Eduardo,€1.3M,€34K
173857,M. Andújar,€2.3M,€11K
206114,K. Olsson,€7.5M,€8K
207650,E. Krafth,€6M,€21K
189218,R. Jack,€6M,€39K
205347,M. Luongo,€6M,€9K
215331,L. Jara,€5M,€18K
172835,M. Andreolli,€3.2M,€25K
187939,A. Chahechouhe,€4.9M,€49K
210468,I. Kutepov,€6.5M,€1K
216356,J. Pivarić,€4.3M,€1K
223524,E. Goldaniga,€6M,€32K
230437,Elias Fontoira,€1.7M,€21K
244517,E. Saric,€6M,€9K
191269,S. Al Faraj,€5.5M,€33K
197926,L. Crisetig,€7M,€26K
205351,A. Pritchard,€7.5M,€37K
221479,D. Calvert-Lewin,€9M,€55K
240679,T. Koopmeiners,€8.5M,€10K
173608,Joselu,€6M,€44K
177448,G. Svensson,€3.8M,€7K
230186,Enaldo Praz,€4.1M,€22K
202539,L. Griffiths,€6M,€46K
206124,W. Katsande,€3.2M,€1K
144172,S. Kırıntılı,€2.8M,€12K
221740,E. Crivelli,€8M,€20K
205869,Jairo,€7M,€12K
212269,R. Bazoer,€8M,€26K
198190,G. Cunningham,€5M,€35K
156975,C. Berra,€2.3M,€8K
176687,A. Beck,€3.7M,€26K
205360,K. Roofe,€7M,€38K
197681,G. Imbula,€7M,€35K
199729,D. Royer,€5.5M,€8K
212273,C. Njie,€7.5M,€34K
220209,K. Lawrence,€6M,€7K
184626,N. Sánchez,€3.2M,€34K
202035,N. Benezet,€6M,€20K
189491,O. Şahan,€4.9M,€26K
190772,M. Besler,€3.8M,€7K
193077,D. Falcinelli,€6.5M,€29K
200758,L. Moore,€6M,€26K
177974,A. Aguilar,€2.3M,€7K
241463,Dani Raba,€8M,€22K
188727,B. Poulain,€4.2M,€18K
194359,Y. Nagatomo,€3.7M,€40K
186680,Raúl Fernández,€3.6M,€8K
186681,Alberto,€2.8M,€13K
193337,J. Obi,€6.5M,€15K
193849,C. Hourihane,€6M,€18K
228666,B. Kuwas,€6.5M,€9K
230202,Jailson Caeiro,€4.8M,€18K
203067,D. Chará,€3.2M,€7K
179515,T. Mykhalyk,€1.7M,€1K
200765,M. Bešić,€6.5M,€58K
135742,Alexis,€3.2M,€29K
215103,E. Puch,€4.9M,€26K
230207,Kel Perinho,€1.7M,€14K
202048,C. Coady,€6M,€46K
188992,M. Estigarribia,€5.5M,€13K
199745,E. Sviatchenko,€6M,€19K
216385,R. Ortiz,€0,€0
230209,Hugo Goiteira,€4.9M,€18K
231745,L. Dimata,€8.5M,€29K
226370,André Horta,€8M,€6K
230466,Fábio Melitinho,€2.8M,€25K
208451,R. Quaison,€7.5M,€22K
236355,Luiz Felipe,€7.5M,€24K
177475,T. Sippel,€3.6M,€17K
193091,B. Nuytinck,€5.5M,€22K
215108,J. Buffarini,€4.3M,€19K
200773,A. Wakaso,€5.5M,€9K
232517,N. Silva,€5.5M,€15K
184133,Castro,€5.5M,€22K
206662,M. Hedges,€4.6M,€8K
206407,João Pereira,€1.6M,€24K
207431,Insua,€6M,€20K
213063,Róber,€7M,€8K
230215,Osvaldo Lodeiro,€4.2M,€14K
190535,Míchel,€5.5M,€18K
211784,N. Maupay,€8M,€30K
223816,J. Rodríguez,€7.5M,€18K
231240,E. Mor,€8.5M,€16K
232008,Lato,€7.5M,€18K
190024,Fernandão,€5M,€24K
190536,O. Martínez,€4.3M,€19K
195912,Suk Hyun Jun,€6.5M,€19K
239433,N. Maksimović,€8M,€17K
178249,J. Kembo-Ekoko,€5.5M,€18K
202058,S. Anđelković,€3.2M,€5K
204874,A. Katai,€6M,€9K
230218,Fabiano Sonta,€4.9M,€22K
192587,A. Ioniţă,€6M,€27K
145996,Seoane,€1.3M,€6K
25420,C. Pizarro,€1.6M,€18K
178253,Ivo,€4.9M,€13K
192333,L. Sané,€3.8M,€7K
196942,Iñigo Pérez,€4.2M,€9K
215886,D. Kreilach,€5.5M,€8K
232270,T. Fosu-Mensah,€8M,€53K
